is_Located_Outside_India,is_NCR,Counts_of_Restaurants_in_the_city,Average_Votes_per_Restaurant,Restaurants_in_city...5,Restaurants_in_city....25,Avg..daily.orders,Average_Cost_for_Two,Has_Table,Has_Online_Orders,Percentage.online.orders,Desserts,Café.Flag,is_Eco,is_Mid,is_High,Alcohol,Continental,Oriental,Oceanic,Asian,American,Café.Pub,Fast.Food,Desserts...Beverages,Latin.American,Arabic,International,Indian,Mediterranean,Health.Conscious,European,Votes_Value,isBad
1,0,0.003472222,0.028526221,0,1,0.48,0.0025,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.054103027,FALSE
1,0,0.003472222,0.01681736,0,1,0.88,0.0004,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.027643132,FALSE
1,0,0.003472222,0.009086799,0,1,0.88,0.0025,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.014936208,FALSE
1,0,0.003472222,0.015009042,0,1,0.48,0.0064,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.024038168,FALSE
1,0,0.003472222,0.013743219,0,1,0.28,0.0025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.020273154,FALSE
1,0,0.003472222,0.016636528,0,1,0.2,0.0064,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030150601,FALSE
1,0,0.003472222,0.019439421,0,1,0.68,0.0025,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.033591702,FALSE
1,0,0.003472222,0.019575045,0,1,0.36,0.0025,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03630114,FALSE
1,0,0.003472222,0.017179024,0,1,0.64,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.028961649,FALSE
1,0,0.003472222,0.029249548,0,1,0.04,0.0064,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.051776569,FALSE
1,0,0.003472222,0.016274864,0,1,0.04,0.0064,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.027437351,FALSE
1,0,0.003472222,0.010262206,0,1,0.08,0.0025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.017300774,FALSE
1,0,0.003472222,0.013110307,0,1,0.32,0.0025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.021549753,FALSE
1,0,0.003472222,0.012206148,0,1,0.24,0.0004,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021092464,FALSE
1,0,0.003472222,0.014737794,0,1,0.36,0.0025,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.024846046,FALSE
1,0,0.003472222,0.014330922,0,1,0.12,0.0049,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025972121,FALSE
1,0,0.003472222,0.013562387,0,1,0.84,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.024007682,FALSE
1,0,0,0.018987342,1,0,0.44,0.0016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00128041,TRUE
1,0,0.003472222,0.039737794,0,1,0.16,0.0025,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.075366975,FALSE
1,0,0.003472222,0.027802893,0,1,0.8,0.0025,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053902963,FALSE
1,0,0.003472222,0.017133816,0,1,0.12,0.0196,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.028163298,FALSE
1,0,0.003472222,0.013698011,0,1,0.52,0.0004,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024825087,FALSE
1,0,0.003472222,0.024321881,0,1,0.24,0.0196,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.042028687,FALSE
1,0,0.003472222,0.015099458,0,1,0.04,0.0004,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.026728553,FALSE
1,0,0.003472222,0.025090416,0,1,0,0.0025,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.045471694,FALSE
1,0,0.003472222,0.037206148,0,1,0.84,0.0004,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.068997317,FALSE
1,0,0.003472222,0.024864376,0,1,0.36,0.0025,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04296613,FALSE
1,0,0.003472222,0.029385172,0,1,0.84,0.0025,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.054493628,FALSE
1,0,0.003472222,0.018535262,0,1,0.48,0.0004,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033591702,FALSE
1,0,0.003472222,0.029837251,0,1,0.08,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.055331992,FALSE
1,0,0.003472222,0.016274864,0,1,0.04,0.0025,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.030181087,FALSE
1,0,0.003472222,0.015370705,0,1,0.64,0.0064,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025913054,FALSE
1,0,0.003472222,0.017766727,0,1,0.4,0.0025,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030701253,FALSE
1,0,0.003472222,0.019077758,0,1,0.6,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.034574873,FALSE
1,0,0.003472222,0.019665461,0,1,0.76,0.0064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.033153466,FALSE
1,0,0.003472222,0.016681736,0,1,0.4,0.0025,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.028123285,FALSE
1,0,0.003472222,0.022016275,0,1,0.48,0.0064,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.040828303,FALSE
